ГРУППА;ЧАСЫ;"ПОНЕДЕЛЬНИК
 01.09., 15.09., 29.09., 13.10., 27.10., 10.11., 24.11., 08.12., 22.12.," ;"ВТОРНИК
 02.09., 16.09., 30.09., 14.10., 28.10., 11.11., 25.11., 09.12., 23.12.," ;"СРЕДА
 03.09., 17.09., 01.10., 15.10., 29.10., 12.11., 26.11., 10.12., 24.12.," ;"ЧЕТВЕРГ
 04.09., 18.09., 02.10., 16.10., 30.10., 13.11., 27.11., 11.12., 25.12.," ;"ПЯТНИЦА
 05.09., 19.09., 03.10., 17.10., 31.10., 14.11., 28.11., 12.12., 26.12.," ;"СУББОТА
 06.09., 20.09., 04.10., 18.10., 01.11., 15.11., 29.11., 13.12., 27.12.," ;"ПОНЕДЕЛЬНИК
 08.09., 22.09., 06.10., 20.10., 03.11., 17.11., 01.12., 15.12., 29.12.," ;"ВТОРНИК
 09.09., 23.09., 07.10., 21.10., 04.11., 18.11., 02.12., 16.12., 30.12.," ;"СРЕДА
 10.09., 24.09., 08.10., 22.10., 05.11., 19.11., 03.12., 17.12., 31.12.," ;"ЧЕТВЕРГ
 11.09., 25.09., 09.10., 23.10., 06.11., 20.11., 04.12., 18.12., 01.01.," ;"ПЯТНИЦА
 12.09., 26.09., 10.10., 24.10., 07.11., 21.11., 05.12., 19.12., 02.01.," ;"СУББОТА
 13.09., 27.09., 11.10., 25.10., 08.11., 22.11., 06.12., 20.12., 03.01.," ;
ИВТ-360;3-4;;;;;;Организация ЭВМ   Лекция   Андреев А.Е.   В-1302;;;;;;Криптография   Лекция   Лукьянов В.С.   В-1301;
ИВТ-360;5-6;;;;;;Организация ЭВМ   Лекция   Андреев А.Е.   В-1302;;;;;;Криптография   Лекция   Лукьянов В.С.   В-1301;
ИВТ-360;13-14;"Организация ЭВМ , Лекция Андреев А.Е. , В-1301 01.09., 29.09., 27.10., 24.11., 22.12., 
 -----------------------------------------------------
 Нет заняти"я;;;;;;"Организация ЭВМ , Практика Забалуева А.Ф. , В-1301 08.09., 06.10., 03.11., 01.12., 29.12., 
 -----------------------------------------------------
 Криптография , Лекция Лукьянов В.С. , В-1301 22.09., 20.10., 17.11., 15.12., 12.01.," ;;;;;;
ИВТ-360;15-16;"Организация ЭВМ , Лекция Андреев А.Е. , В-1301 01.09., 29.09., 27.10., 24.11., 22.12., 
 -----------------------------------------------------
 Нет заняти"я;;;;;;"Организация ЭВМ , Практика Забалуева А.Ф. , В-1301 08.09., 06.10., 03.11., 01.12., 29.12., 
 -----------------------------------------------------
 Криптография , Лекция Лукьянов В.С. , В-1301 22.09., 20.10., 17.11., 15.12., 12.01.," ;;;;;;
ИВТ-361;3-4;;;;;;Организация ЭВМ   Лекция   Андреев А.Е.   В-1302;;;;;;Криптография   Лекция   Лукьянов В.С.   В-1301;
ИВТ-361;5-6;;;;;;Организация ЭВМ   Лекция   Андреев А.Е.   В-1302;;;;;;Криптография   Лекция   Лукьянов В.С.   В-1301;
ИВТ-361;13-14;"Организация ЭВМ , Лекция Андреев А.Е. , В-1301 01.09., 29.09., 27.10., 24.11., 22.12., 
 -----------------------------------------------------
 Организация ЭВМ , Практика Забалуева А.Ф. , В-1301 15.09., 13.10., 10.11., 08.12., 05.01.," ;;;;;;"Нет занятия
 -----------------------------------------------------
 Криптография , Лекция Лукьянов В.С. , В-1301 22.09., 20.10., 17.11., 15.12., 12.01.," ;;;;;;
ИВТ-361;15-16;"Организация ЭВМ , Лекция Андреев А.Е. , В-1301 01.09., 29.09., 27.10., 24.11., 22.12., 
 -----------------------------------------------------
 Организация ЭВМ , Практика Забалуева А.Ф. , В-1301 15.09., 13.10., 10.11., 08.12., 05.01.," ;;;;;;"Нет занятия
 -----------------------------------------------------
 Криптография , Лекция Лукьянов В.С. , В-1301 22.09., 20.10., 17.11., 15.12., 12.01.," ;;;;;;
ИВТ-362;3-4;;;;;;Организация ЭВМ   Лекция   Андреев А.Е.   В-1302;;;;;;Криптография   Лекция   Лукьянов В.С.   В-1301;
ИВТ-362;5-6;;;;;;Организация ЭВМ   Лекция   Андреев А.Е.   В-1302;;;;;;Криптография   Лекция   Лукьянов В.С.   В-1301;
